instructions_2afc.started,instructions_2afc.stopped,instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session,practice_2afc.started,practice_2afc.stopped,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,key_resp_2afc_practice.duration,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response,check_2afc.started,check_2afc.stopped,trial_2afc.started,trial_2afc.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.duration,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,item_num,target,variety,instructions_lextale.started,instructions_lextale.stopped,instructions_lextale_loop.thisRepN,instructions_lextale_loop.thisTrialN,instructions_lextale_loop.thisN,instructions_lextale_loop.thisIndex,instructions_lextale_loop.ran,practice_lextale.started,practice_lextale.stopped,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_practice.duration,practice_feedback_lextale.started,practice_feedback_lextale.stopped,trials_lextale_practice_loop.thisRepN,trials_lextale_practice_loop.thisTrialN,trials_lextale_practice_loop.thisN,trials_lextale_practice_loop.thisIndex,trials_lextale_practice_loop.ran,stim,word,prac_button_real,prac_button_false,check_lextale.started,check_lextale.stopped,trial_lextale.started,trial_lextale.stopped,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,key_resp_lextale_trial.duration,trials_lextale_loop.thisRepN,trials_lextale_loop.thisTrialN,trials_lextale_loop.thisN,trials_lextale_loop.thisIndex,trials_lextale_loop.ran,button_real,button_false,instructions_eq.started,instructions_eq.stopped,trial_eq.started,trial_eq.stopped,slider_eq_trial.response,trials_eq_loop.thisRepN,trials_eq_loop.thisTrialN,trials_eq_loop.thisN,trials_eq_loop.thisIndex,trials_eq_loop.ran,item,is_test_item,is_distractor,is_agree_score,is_disagree_score,end_exp.started,end_exp.stopped
0.0088,3.1787,0,0,0,0,1,"In the following task you are going to hear a series of utterances. 

  You will decide if the utterances sound like questions or not using your keyboard.", (press the spacebar to continue),,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1814,8.2282,0,1,1,1,1,"If you believe the utterance is a question, type '1' (for 'yes') and if you do not 
  believe it is a question type '0' (for 'no').

  Let's practice a bit...", (press the spacebar to continue),,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,8.2409,11.5285,0,1,2.7661,,0,0,0,7,1,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,11.5297,13.994,1,1,1.9425,,0,1,1,2,1,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,13.9949,16.7103,0,1,2.1864,,0,2,2,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,16.7112,18.8611,1,1,1.6443,,0,3,3,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,18.8618,21.077,0,1,1.6874,,0,4,4,4,1,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,21.0783,24.2603,1,1,2.6501,,0,5,5,0,1,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,24.2612,26.9947,0,1,2.1996,,0,6,6,5,1,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Mexican, Spanish, Dominican",13 or older,"no, only English or Spanish",no,2025-07-24_12h24.46.847,empathy_intonation_perc_control,2024.2.4,MacIntel,60.60606061,657f1d06a2dc99584052f77f,68817205a84113384fffdfe3,68825e25a1b6a24e75607626,26.9957,29.1769,1,1,1.6499,,0,7,7,3,1,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
